accession_new	accession_old	mag_id	source_fasta	needs_signalp	whole_proteome_role	source_sample_id	final_confidence
CU_CUST_000000268.1	CU_SAMN10350718_bin.150	SAMN10350718_bin.150	SAMN10350718_bin.150.fa	True	False	SAMN10350718	high
CU_CUST_000000269.1	CU_SAMN10350718_bin.34	SAMN10350718_bin.34	SAMN10350718_bin.34.fa	True	False	SAMN10350718	high
CU_CUST_000000270.1	CU_SAMN10350718_bin.65	SAMN10350718_bin.65	SAMN10350718_bin.65.fa	True	False	SAMN10350718	medium
CU_CUST_000000271.1	CU_SAMN10350718_bin.85	SAMN10350718_bin.85	SAMN10350718_bin.85.fa	True	False	SAMN10350718	high
CU_CUST_000000272.1	CU_SAMN10350718_bin.90	SAMN10350718_bin.90	SAMN10350718_bin.90.fa	True	False	SAMN10350718	high
CU_CUST_000000273.1	CU_SAMN10402039_bin.59	SAMN10402039_bin.59	SAMN10402039_bin.59.fa	True	False	SAMN10402039	medium
CU_CUST_000000274.1	CU_SAMN10739805_bin.5	SAMN10739805_bin.5	SAMN10739805_bin.5.fa	True	False	SAMN10739805	low
CU_CUST_000000275.1	CU_SAMN10739806_bin.21	SAMN10739806_bin.21	SAMN10739806_bin.21.fa	True	False	SAMN10739806	high
CU_CUST_000000276.1	CU_SAMN10739806_bin.25	SAMN10739806_bin.25	SAMN10739806_bin.25.fa	True	False	SAMN10739806	high
CU_CUST_000000277.1	CU_SAMN10739806_bin.8	SAMN10739806_bin.8	SAMN10739806_bin.8.fa	True	False	SAMN10739806	high
CU_CUST_000000278.1	CU_SAMN10864365_bin.146	SAMN10864365_bin.146	SAMN10864365_bin.146.fa	True	False	SAMN10864365	high
CU_CUST_000000279.1	CU_SAMN10864365_bin.168	SAMN10864365_bin.168	SAMN10864365_bin.168.fa	True	False	SAMN10864365	high
CU_CUST_000000280.1	CU_SAMN10864365_bin.26	SAMN10864365_bin.26	SAMN10864365_bin.26.fa	True	False	SAMN10864365	high
CU_CUST_000000281.1	CU_SAMN10864365_bin.41	SAMN10864365_bin.41	SAMN10864365_bin.41.fa	True	False	SAMN10864365	high
CU_CUST_000000282.1	CU_SAMN10864365_bin.98	SAMN10864365_bin.98	SAMN10864365_bin.98.fa	True	False	SAMN10864365	high
CU_CUST_000000283.1	CU_SAMN12239300_bin.22	SAMN12239300_bin.22	SAMN12239300_bin.22.fa	True	False	SAMN12239300	medium
CU_CUST_000000284.1	CU_SAMN12239302_bin.23	SAMN12239302_bin.23	SAMN12239302_bin.23.fa	True	False	SAMN12239302	medium
CU_CUST_000000285.1	CU_SAMN12239302_bin.27	SAMN12239302_bin.27	SAMN12239302_bin.27.fa	True	False	SAMN12239302	medium
CU_CUST_000000286.1	CU_SAMN12239302_bin.50	SAMN12239302_bin.50	SAMN12239302_bin.50.fa	True	False	SAMN12239302	medium
CU_CUST_000000287.1	CU_SAMN12239303_bin.32	SAMN12239303_bin.32	SAMN12239303_bin.32.fa	True	False	SAMN12239303	medium
CU_CUST_000000288.1	CU_SAMN12239303_bin.87	SAMN12239303_bin.87	SAMN12239303_bin.87.fa	True	False	SAMN12239303	medium
CU_CUST_000000289.1	CU_SAMN12239305_bin.58	SAMN12239305_bin.58	SAMN12239305_bin.58.fa	True	False	SAMN12239305	medium
CU_CUST_000000290.1	CU_SAMN12239305_bin.97	SAMN12239305_bin.97	SAMN12239305_bin.97.fa	True	False	SAMN12239305	medium
CU_CUST_000000291.1	CU_SAMN12239306_bin.13	SAMN12239306_bin.13	SAMN12239306_bin.13.fa	True	False	SAMN12239306	medium
CU_CUST_000000292.1	CU_SAMN12239309_bin.165	SAMN12239309_bin.165	SAMN12239309_bin.165.fa	False	True	SAMN12239309	medium
CU_CUST_000000293.1	CU_SAMN12239309_bin.54	SAMN12239309_bin.54	SAMN12239309_bin.54.fa	True	False	SAMN12239309	medium
CU_CUST_000000294.1	CU_SAMN12239309_bin.57	SAMN12239309_bin.57	SAMN12239309_bin.57.fa	False	True	SAMN12239309	medium
CU_CUST_000000295.1	CU_SAMN12239309_bin.88	SAMN12239309_bin.88	SAMN12239309_bin.88.fa	False	True	SAMN12239309	medium
CU_CUST_000000296.1	CU_SAMN12239310_bin.24	SAMN12239310_bin.24	SAMN12239310_bin.24.fa	True	False	SAMN12239310	medium
CU_CUST_000000297.1	CU_SAMN12239311_bin.131	SAMN12239311_bin.131	SAMN12239311_bin.131.fa	True	False	SAMN12239311	medium
CU_CUST_000000298.1	CU_SAMN12239311_bin.168	SAMN12239311_bin.168	SAMN12239311_bin.168.fa	True	False	SAMN12239311	medium
CU_CUST_000000299.1	CU_SAMN12239311_bin.80	SAMN12239311_bin.80	SAMN12239311_bin.80.fa	True	False	SAMN12239311	medium
CU_CUST_000000300.1	CU_SAMN12239312_bin.37	SAMN12239312_bin.37	SAMN12239312_bin.37.fa	True	False	SAMN12239312	medium
CU_CUST_000000301.1	CU_SAMN12239312_bin.65	SAMN12239312_bin.65	SAMN12239312_bin.65.fa	True	False	SAMN12239312	medium
CU_CUST_000000302.1	CU_SAMN12239313_bin.27	SAMN12239313_bin.27	SAMN12239313_bin.27.fa	True	True	SAMN12239313	medium
CU_CUST_000000303.1	CU_SAMN12239314_bin.1	SAMN12239314_bin.1	SAMN12239314_bin.1.fa	False	True	SAMN12239314	medium
CU_CUST_000000304.1	CU_SAMN12239314_bin.140	SAMN12239314_bin.140	SAMN12239314_bin.140.fa	False	True	SAMN12239314	medium
CU_CUST_000000305.1	CU_SAMN12239314_bin.22	SAMN12239314_bin.22	SAMN12239314_bin.22.fa	False	True	SAMN12239314	medium
