sp_norm	ogt_tempura	tmin_measured	ogt_madin	ogt_toki	ogt_ogtfinder	ogt_ogtfinder_sources	ogt_n_sources	ogt_measured	ogt_spread
collimonas fungivorans_a				22.5			1	22.5	0.0
collimonas pratensis				20.0			1	20.0	0.0
collinsella stercoris				34.75			1	34.75	0.0
collinsella tanakaei					37.0	BacDive	1	37.0	0.0
colwellia aestuarii	27.5	4.0					1	27.5	0.0
colwellia agarivorans	29.0	4.0					1	29.0	0.0
colwellia arctica	19.0	4.0	20.0				2	19.5	1.0
colwellia asteriadis	15.0	4.0					1	15.0	0.0
colwellia beringensis	11.5	0.0					1	11.5	0.0
colwellia chukchiensis	24.0	0.0			24.0	BacDive	2	24.0	0.0
colwellia demingiae			13.0				1	13.0	0.0
colwellia echini	20.0	5.0					1	20.0	0.0
colwellia hornerae			10.3				1	10.3	0.0
colwellia marinimaniae				2.0			1	2.0	0.0
colwellia maris			13.0				1	13.0	0.0
colwellia mytili	20.0	4.0					1	20.0	0.0
colwellia piezophila			10.0				1	10.0	0.0
colwellia polaris	20.5	4.0					1	20.5	0.0
colwellia psychrerythraea			10.0		9.5	Lyubetsky et al., 2020	2	9.75	0.5
colwellia sp.			15.0				1	15.0	0.0
comamonas aquatica			29.0				1	29.0	0.0
comamonas badia	28.5	20.0	29.0				2	28.75	0.5
comamonas denitrificans					30.0	BacDive	1	30.0	0.0
comamonas humi	27.5	15.0					1	27.5	0.0
comamonas kerstersii	37.5	30.0	33.0	37.5			3	36.0	4.5
comamonas sediminis	32.5	12.0					1	32.5	0.0
comamonas sp.			29.0				1	29.0	0.0
comamonas terrigena			32.0				1	32.0	0.0
comamonas testosteroni			29.0	29.8666666666667			2	29.43333333333335	0.8666666666666991
comamonas zonglianii			29.0				1	29.0	0.0
comamonas_c badia				28.5			1	28.5	0.0
commensalibacter intestini	27.5	18.0		27.5			2	27.5	0.0
companilactobacillus nantensis					30.0	BacDive	1	30.0	0.0
companilactobacillus nodensis					26.0	BacDive	1	26.0	0.0
compostibacillus humi	50.0	30.0			50.0	ThermoBase	2	50.0	0.0
compostimonas suwonensis					28.0	BacDive	1	28.0	0.0
conexibacter woesei			29.0	30.25	32.5	Lyubetsky et al., 2020	3	30.583333333333332	3.5
conexivisphaera calida					65.0	ThermoBase	1	65.0	0.0
conexivisphaera calidus	65.0	60.0					1	65.0	0.0
confluentibacter lentus	32.5	15.0		32.5			2	32.5	0.0
conyzicola nivalis	14.0	0.0		14.0			2	14.0	0.0
coprobacter fastidiosus				35.25			1	35.25	0.0
coprococcus catus	41.0	25.0			41.0	ThermoBase	2	41.0	0.0
coprococcus comes	41.0	25.0			41.0	ThermoBase	2	41.0	0.0
coprococcus eutactus	41.0	25.0			41.0	ThermoBase	2	41.0	0.0
coprothermobacter platensis	55.0	35.0	55.0	55.0	55.0	ThermoBase	4	55.0	0.0
coprothermobacter proteolyticus	63.0	35.0	60.0	62.0	65.25	Lyubetsky et al., 2020;ThermoBase	4	62.5625	5.25
coraliomargarita akajimensis					25.0	Lyubetsky et al., 2020	1	25.0	0.0
corallibacterium pacifica	35.0	15.0					1	35.0	0.0
corallincola platygyrae	20.0	20.0					1	20.0	0.0
corallococcus coralloides				28.0076923076923			1	28.0076923076923	0.0
corallococcus exiguus				28.0287769784173			1	28.0287769784173	0.0
coralloluteibacterium thermophilus	45.0	15.0			45.0	ThermoBase	2	45.0	0.0
corallomonas stylophorae	27.5	15.0					1	27.5	0.0
coriobacterium glomerans				31.25	27.5	Lyubetsky et al., 2020	2	29.375	3.75
corticibacterium populi	29.0	10.0		29.0			2	29.0	0.0
corticicoccus populi	29.0	10.0					1	29.0	0.0
corynebacterium accolens					37.0	BacDive	1	37.0	0.0
corynebacterium acetoacidophilum			32.0				1	32.0	0.0
corynebacterium afermentans					28.0	BacDive	1	28.0	0.0
corynebacterium alkanolyticum			26.0				1	26.0	0.0
corynebacterium ammoniagenes					29.0	BacDive;Lyubetsky et al., 2020	1	29.0	0.0
corynebacterium amycolatum			36.0	35.8333333333333	28.0	BacDive	3	33.277777777777764	8.0
corynebacterium appendicis					37.0	BacDive	1	37.0	0.0
corynebacterium aquilae					37.0	Lyubetsky et al., 2020	1	37.0	0.0
corynebacterium argentoratense			29.0		28.0	BacDive	2	28.5	1.0
corynebacterium atypicum					37.0	Lyubetsky et al., 2020	1	37.0	0.0
corynebacterium aurimucosum			36.0		37.0	BacDive	2	36.5	1.0
corynebacterium auris					37.0	BacDive	1	37.0	0.0
corynebacterium bovis			36.0	30.5	37.0	BacDive	3	34.5	6.5
corynebacterium callunae					28.0	BacDive	1	28.0	0.0
corynebacterium canis					35.0	BacDive	1	35.0	0.0
corynebacterium caspium				34.5	37.0	BacDive	2	35.75	2.5
corynebacterium confusum					37.0	BacDive	1	37.0	0.0
corynebacterium coyleae					37.0	BacDive	1	37.0	0.0
corynebacterium cystitidis					37.0	BacDive	1	37.0	0.0
corynebacterium diphtheriae				35.2	35.25	BacDive;Lyubetsky et al., 2020	2	35.225	0.04999999999999716
corynebacterium efficiens					36.0	BacDive;Lyubetsky et al., 2020	1	36.0	0.0
corynebacterium falsenii					37.0	BacDive	1	37.0	0.0
corynebacterium felinum					37.0	BacDive	1	37.0	0.0
corynebacterium flavescens			31.0		28.0	BacDive	2	29.5	3.0
corynebacterium frankenforstense			29.0				1	29.0	0.0
corynebacterium freneyi			36.0		37.0	BacDive	2	36.5	1.0
corynebacterium glaucum			33.0		28.0	BacDive	2	30.5	5.0
corynebacterium glucuronolyticum					37.0	BacDive	1	37.0	0.0
corynebacterium glutamicum			31.0	31.46707142857145	29.5	BacDive;Lyubetsky et al., 2020	3	30.655690476190482	1.967071428571451
corynebacterium glyciniphilum			38.0				1	38.0	0.0
corynebacterium guangdongense	27.5	10.0					1	27.5	0.0
corynebacterium hadale	35.0	22.0					1	35.0	0.0
corynebacterium halotolerans					28.0	BacDive;Lyubetsky et al., 2020	1	28.0	0.0
corynebacterium hansenii					24.0	BacDive	1	24.0	0.0
corynebacterium humireducens					37.0	BacDive	1	37.0	0.0
corynebacterium ilicis			26.0				1	26.0	0.0
corynebacterium imitans			36.0		37.0	BacDive	2	36.5	1.0
corynebacterium jeikeium					36.0	Lyubetsky et al., 2020	1	36.0	0.0
corynebacterium kroppenstedtii					37.0	BacDive	1	37.0	0.0
corynebacterium kutscheri					28.0	BacDive	1	28.0	0.0
corynebacterium lactis			29.0				1	29.0	0.0
corynebacterium lipophiloflavum					37.0	BacDive	1	37.0	0.0
corynebacterium lubricantis			29.0		27.75	BacDive	2	28.375	1.25
corynebacterium macginleyi					37.0	BacDive	1	37.0	0.0
corynebacterium marinum	31.0	4.0	29.0	30.6	31.0	Lyubetsky et al., 2020	4	30.4	2.0
corynebacterium maris				35.625	29.25	BacDive;Lyubetsky et al., 2020	2	32.4375	6.375
corynebacterium mastitidis					37.0	BacDive	1	37.0	0.0
corynebacterium matruchotii			35.0		37.0	BacDive	2	36.0	2.0
corynebacterium minutissimum			35.0	36.5	37.0	BacDive	3	36.166666666666664	2.0
corynebacterium mucifaciens					37.0	BacDive	1	37.0	0.0
corynebacterium mycetoides			34.0	33.5	37.0	BacDive	3	34.833333333333336	3.5
corynebacterium otitidis					37.0	BacDive	1	37.0	0.0
corynebacterium pelargi			34.0				1	34.0	0.0
corynebacterium phocae					37.0	Lyubetsky et al., 2020	1	37.0	0.0
corynebacterium pilosum					37.0	BacDive	1	37.0	0.0
corynebacterium propinquum					37.0	BacDive	1	37.0	0.0
corynebacterium pseudodiphtheriticum			35.0		37.0	BacDive	2	36.0	2.0
corynebacterium pseudotuberculosis					37.0	BacDive;Lyubetsky et al., 2020	1	37.0	0.0
corynebacterium pyruviciproducens				37.833	37.0	BacDive	2	37.4165	0.8329999999999984
corynebacterium renale			36.0	35.25	37.0	BacDive	3	36.083333333333336	1.75
corynebacterium resistens					37.0	Lyubetsky et al., 2020	1	37.0	0.0
corynebacterium riegelii					37.0	BacDive	1	37.0	0.0
corynebacterium simulans					37.0	BacDive;Lyubetsky et al., 2020	1	37.0	0.0
corynebacterium singulare					37.0	BacDive;Lyubetsky et al., 2020	1	37.0	0.0
corynebacterium sp.			33.0				1	33.0	0.0
corynebacterium sphenisci					37.0	Lyubetsky et al., 2020	1	37.0	0.0
corynebacterium sputi					37.0	BacDive	1	37.0	0.0
corynebacterium stationis			29.0	35.0	28.0	BacDive	3	30.666666666666668	7.0
corynebacterium striatum			34.0		37.0	BacDive;Lyubetsky et al., 2020	2	35.5	3.0
corynebacterium sundsvallense			36.0				1	36.0	0.0
corynebacterium suranareeae	33.5	9.0		33.5			2	33.5	0.0
corynebacterium terpenotabidum			35.0				1	35.0	0.0
corynebacterium thomssenii					37.0	BacDive	1	37.0	0.0
corynebacterium trachiae			34.0				1	34.0	0.0
corynebacterium ulcerans					37.0	BacDive	1	37.0	0.0
corynebacterium ulceribovis					28.0	BacDive	1	28.0	0.0
corynebacterium urealyticum					37.0	BacDive;Lyubetsky et al., 2020	1	37.0	0.0
corynebacterium ureicelerivorans					37.0	BacDive;Lyubetsky et al., 2020	1	37.0	0.0
corynebacterium variabile			27.0	27.5	27.75	BacDive;Lyubetsky et al., 2020	3	27.416666666666668	0.75
corynebacterium vitaeruminis					28.0	BacDive	1	28.0	0.0
corynebacterium xerosis			35.0	34.3333333333333	37.0	BacDive	3	35.444444444444436	2.6666666666667
cosenzaea myxofaciens			35.0				1	35.0	0.0
costertonia aggregata	29.0	10.0		29.0			2	29.0	0.0
couchioplanes caeruleus			27.0				1	27.0	0.0
coxiella burnetii			36.0				1	36.0	0.0
crenalkalicoccus roseus	45.0	20.0		45.0	45.0	ThermoBase	3	45.0	0.0
crenobacter luteus	45.0	10.0	40.0	45.0	45.0	ThermoBase	4	43.75	5.0
crenotalea thermophila	55.0	35.0	55.0				2	55.0	0.0
cribrihabitans marinus	32.5	15.0		32.5			2	32.5	0.0
crinalium epipsammum					25.0	Lyubetsky et al., 2020	1	25.0	0.0
crocebacterium ilecola			21.0				1	21.0	0.0
croceibacter atlanticus			26.0		21.5	Lyubetsky et al., 2020	2	23.75	4.5
croceicoccus mobilis	33.5	15.0		33.5			2	33.5	0.0
croceicoccus naphthovorans	32.0	15.0		32.0			2	32.0	0.0
croceicoccus pelagius	33.5	15.0		33.5			2	33.5	0.0
croceitalea dokdonensis	35.0	12.0		35.0			2	35.0	0.0
croceitalea eckloniae	29.0	10.0					1	29.0	0.0
croceitalea litorea	27.5	15.0					1	27.5	0.0
croceivirga radicis				36.0			1	36.0	0.0
crocinitomix catalasitica			27.0				1	27.0	0.0
cronobacter muytjensii			29.0				1	29.0	0.0
cronobacter sakazakii			33.0	36.0			2	34.5	3.0
cronobacter universalis				33.5			1	33.5	0.0
crossiella cryophila			29.0				1	29.0	0.0
crossiella equi			29.0				1	29.0	0.0
cruoricaptor ignavus	35.0	22.0		35.0			2	35.0	0.0
cryobacterium arcticum	20.0	-6.0	20.0	20.0			3	20.0	0.0
cryobacterium aureum	11.0	0.0		11.0			2	11.0	0.0
cryobacterium flavum			10.0				1	10.0	0.0
cryobacterium levicorallinum	11.0	0.0	10.0	11.0			3	10.666666666666666	1.0
cryobacterium luteum			10.0				1	10.0	0.0
cryobacterium psychrophilum			10.0	10.0			2	10.0	0.0
cryobacterium psychrotolerans	21.0	4.0	21.0	21.33333333333333			3	21.11111111111111	0.3333333333333286
cryobacterium roopkundense			15.0	15.75	16.5	BacDive	3	15.75	1.5
cryomorpha ignava	15.0	-2.0	10.0	15.0			3	13.333333333333334	5.0
cryptosporangium eucalypti	32.5	20.0					1	32.5	0.0
cryptosporangium minutisporangium			27.0				1	27.0	0.0
cucumibacter marinus	32.5	15.0		32.5			2	32.5	0.0
cuniculiplasma divulgatum	38.5	10.0		38.5	38.5	aciDB	3	38.5	0.0
cuniculiplasma sp.					22.0	aciDB	1	22.0	0.0
cupriavidus basilensis			29.0	28.6666666666667			2	28.83333333333335	0.3333333333333002
cupriavidus campinensis			34.0				1	34.0	0.0
cupriavidus gilardii			32.0				1	32.0	0.0
cupriavidus nantongensis	33.5	20.0		33.5			2	33.5	0.0
cupriavidus necator			29.0	29.325	27.0	Lyubetsky et al., 2020	3	28.441666666666666	2.3249999999999993
cupriavidus oxalaticus			29.0	32.5			2	30.75	3.5
cupriavidus pampae			29.0				1	29.0	0.0
cupriavidus pauculus			32.5				1	32.5	0.0
cupriavidus pinatubonensis			29.0	29.5			2	29.25	0.5
cupriavidus respiraculi			32.0				1	32.0	0.0
cupriavidus sp.			29.0				1	29.0	0.0
cupriavidus taiwanensis			31.0	28.9			2	29.95	2.1000000000000014
cupriavidus yeoncheonensis	27.5	15.0		27.5			2	27.5	0.0
curtobacterium albidum					28.0	BacDive	1	28.0	0.0
curtobacterium ammoniigenes			29.0	21.0	21.0	BacDive	3	23.666666666666668	8.0
curtobacterium citreum					28.0	BacDive	1	28.0	0.0
curtobacterium flaccumfaciens			27.5	29.3333333333333			2	28.41666666666665	1.8333333333333002
curtobacterium herbarum			29.0		28.0	BacDive	2	28.5	1.0
curtobacterium luteum			29.0	29.0	28.0	BacDive	3	28.666666666666668	1.0
curtobacterium pusillum					28.0	BacDive	1	28.0	0.0
curvibacter delicatus	31.0	9.0	26.0				2	28.5	5.0
curvibacter gracilis	27.5	9.0		27.5			2	27.5	0.0
curvibacter lanceolatus			26.0				1	26.0	0.0
curvularia protuberata					45.0	ThermoBase	1	45.0	0.0
cutibacterium acnes			35.0		36.5	Lyubetsky et al., 2020	2	35.75	1.5
cyanidioschyzon merolae					45.0	ThermoBase;aciDB	1	45.0	0.0
cyanidium caldarium					45.0	ThermoBase	1	45.0	0.0
cyanobium gracile				32.5			1	32.5	0.0
cyclobacterium amurskyense				26.0	27.5	Lyubetsky et al., 2020	2	26.75	1.5
cyclobacterium halophilum	27.5	4.0					1	27.5	0.0
cyclobacterium jeungdonense	27.5	15.0		27.5			2	27.5	0.0
cyclobacterium lianum	33.0	15.0					1	33.0	0.0
cyclobacterium marinum			23.0	24.0	27.5	Lyubetsky et al., 2020	3	24.833333333333332	4.5
cyclobacterium qasimii				22.0			1	22.0	0.0
cyclobacterium sediminis	27.5	25.0					1	27.5	0.0
cycloclasticus pugetii			20.0	20.0			2	20.0	0.0
cylindrospermopsis raciborskii			20.0				1	20.0	0.0
cylindrospermum licheniforme			24.0				1	24.0	0.0
cylindrospermum majus			22.0				1	22.0	0.0
cylindrospermum muscicola			20.0				1	20.0	0.0
cytobacillus horneckiae					30.0	BacDive	1	30.0	0.0
cytobacillus kochii					30.0	BacDive	1	30.0	0.0
cytobacillus oceanisediminis					37.0	BacDive	1	37.0	0.0
cytophaga allerginae			26.0				1	26.0	0.0
cytophaga aurantiaca			23.0	24.0			2	23.5	1.0
cytophaga hutchinsonii			29.0	28.667	30.0	Lyubetsky et al., 2020	3	29.222333333333335	1.3329999999999984
cytophaga sp.			26.0				1	26.0	0.0
dactylococcopsis salina					34.0	Lyubetsky et al., 2020	1	34.0	0.0
dactylosporangium aurantiacum			29.0				1	29.0	0.0
dactylosporangium darangshiense					37.0	BacDive	1	37.0	0.0
dactylosporangium fulvum			27.0		28.0	BacDive	2	27.5	1.0
dactylosporangium luridum					28.0	BacDive	1	28.0	0.0
dactylosporangium luteum					28.0	BacDive	1	28.0	0.0
dactylosporangium maewongense					27.5	BacDive	1	27.5	0.0
dactylosporangium matsuzakiense			27.0		28.0	BacDive	2	27.5	1.0
dactylosporangium roseum			27.0		28.0	BacDive	2	27.5	1.0
dactylosporangium salmoneum			27.0		28.0	BacDive	2	27.5	1.0
dactylosporangium solaniradicis	31.5	15.0					1	31.5	0.0
dactylosporangium sp.			26.0				1	26.0	0.0
dactylosporangium sucinum	31.0	20.0		31.0			2	31.0	0.0
dactylosporangium thailandense			29.0		28.0	BacDive	2	28.5	1.0
dactylosporangium vinaceum			27.0		28.0	BacDive	2	27.5	1.0
daeguia caeni	33.5	15.0					1	33.5	0.0
dasania marina			20.0	19.75			2	19.875	0.25
dechlorobacter hydrogenophilus			26.0				1	26.0	0.0
dechloromonas agitata			32.0				1	32.0	0.0
dechloromonas denitrificans	32.5	5.0					1	32.5	0.0
dechloromonas sp.			26.0				1	26.0	0.0
deefgea chitinilytica	27.5	15.0					1	27.5	0.0
deefgea rivuli	25.5	4.0	27.0				2	26.25	1.5
deferribacter abyssi	60.0	45.0	57.5		60.0	ThermoBase	3	59.166666666666664	2.5
deferribacter autotrophicus	60.0	25.0	60.0	60.0	60.0	BacDive;ThermoBase	4	60.0	0.0
deferribacter desulfuricans	62.5	40.0	62.0	61.708333333333336	61.25	Lyubetsky et al., 2020;ThermoBase	4	61.864583333333336	1.25
deferribacter thermophilus	60.0	50.0	59.95		60.0	ThermoBase	3	59.98333333333333	0.04999999999999716
deferrisoma camini	50.0	36.0	50.0	50.0	50.0	ThermoBase	4	50.0	0.0
deferrisoma palaeochoriense	60.0	30.0			60.0	ThermoBase	2	60.0	0.0
defluviimonas denitrificans	35.0	10.0	29.0				2	32.0	6.0
defluviimonas indica	26.5	20.0					1	26.5	0.0
defluviimonas nitratireducens	29.0	8.0					1	29.0	0.0
defluviitalea phaphyphila	57.5	45.0			57.5	ThermoBase	2	57.5	0.0
defluviitalea raffinosedens	52.5	40.0			52.5	ThermoBase	2	52.5	0.0
defluviitalea saccharophila	52.5	40.0	50.0		52.5	ThermoBase	3	51.666666666666664	2.5
defluviitoga tunisiensis	55.0	37.0	55.0		55.0	ThermoBase	3	55.0	0.0
dehalobacter restrictus				27.5	30.0	Lyubetsky et al., 2020	2	28.75	2.5
dehalococcoides mccartyi	27.5	15.0		27.5			2	27.5	0.0
dehalococcoides mccartyi_b				31.0			1	31.0	0.0
dehalococcoides sp.			27.0				1	27.0	0.0
dehalogenimonas alkenigignens	32.0	18.0		31.5			2	31.75	0.5
dehalogenimonas formicexedens	32.0	20.0		32.0			2	32.0	0.0
dehalogenimonas lykanthroporepellens	31.0	20.0		31.0			2	31.0	0.0
deinobacterium chartae	41.0	12.0		41.0	41.0	ThermoBase	3	41.0	0.0
deinococcus aerius			29.0		27.5	BacDive	2	28.25	1.5
deinococcus aerolatus			29.0		30.0	BacDive	2	29.5	1.0
deinococcus aerophilus			29.0		30.0	BacDive	2	29.5	1.0
deinococcus aetherius					27.5	BacDive	1	27.5	0.0
deinococcus alpinitundrae	10.0	5.0		10.0			2	10.0	0.0
deinococcus altitudinis	10.0	5.0					1	10.0	0.0
deinococcus aquaticus					30.0	BacDive	1	30.0	0.0
deinococcus aquatilis					30.0	BacDive	1	30.0	0.0
deinococcus caeni					30.0	BacDive	1	30.0	0.0
deinococcus cellulosilyticus			29.0		30.0	BacDive	2	29.5	1.0
deinococcus claudionis	10.0	5.0					1	10.0	0.0
deinococcus daejeonensis					30.0	BacDive	1	30.0	0.0
deinococcus deserti					30.0	BacDive	1	30.0	0.0
deinococcus ficus			29.0		37.0	BacDive	2	33.0	8.0
deinococcus frigens	13.5	1.0	15.0	14.0			3	14.166666666666666	1.5
deinococcus geothermalis	47.0	30.0	47.55		47.0	BacDive;Lyubetsky et al., 2020;ThermoBase	3	47.18333333333334	0.5499999999999972
deinococcus gobiensis					30.0	BacDive	1	30.0	0.0
deinococcus grandis			26.0				1	26.0	0.0
deinococcus hibisci	27.5	15.0					1	27.5	0.0
deinococcus indicus					30.0	BacDive	1	30.0	0.0
deinococcus irradiatisoli	29.0	18.0		29.0			2	29.0	0.0
deinococcus knuensis	27.5	10.0					1	27.5	0.0
deinococcus malanensis	33.5	10.0					1	33.5	0.0
deinococcus marmoris	12.5	4.0	15.0	13.333333333333334			3	13.611111111111112	2.5
deinococcus metallilatus	40.0	20.0		40.0	40.0	ThermoBase	3	40.0	0.0
deinococcus misasensis	42.5	20.0			42.5	ThermoBase	2	42.5	0.0
deinococcus murrayi			47.55		47.0	BacDive;ThermoBase	2	47.275	0.5499999999999972
deinococcus peraridilitoris					30.0	BacDive	1	30.0	0.0
deinococcus piscis					35.0	BacDive	1	35.0	0.0
deinococcus proteolyticus				32.5	30.0	Lyubetsky et al., 2020	2	31.25	2.5
deinococcus radiodurans			35.0		30.0	Lyubetsky et al., 2020	2	32.5	5.0
deinococcus radiomollis	10.0	5.0					1	10.0	0.0
deinococcus radiophilus			32.0				1	32.0	0.0
deinococcus radioresistens	27.5	10.0					1	27.5	0.0
deinococcus reticulitermitis					30.0	BacDive	1	30.0	0.0
deinococcus roseus	32.5	18.0			37.0	BacDive	2	34.75	4.5
deinococcus saxicola	9.0	4.0	15.0				2	12.0	6.0
deinococcus sp.			21.0				1	21.0	0.0
deinococcus taklimakanensis	29.0	10.0					1	29.0	0.0
deinococcus wulumuqiensis			30.0				1	30.0	0.0
deinococcus xinjiangensis					30.0	BacDive	1	30.0	0.0
deinococcus yunweiensis					30.0	BacDive	1	30.0	0.0
deinococcus_c misasensis				42.5			1	42.5	0.0
delftia acidovorans			29.0				1	29.0	0.0
delftia lacustris			29.0		25.0	BacDive	2	27.0	4.0
delftia sp.			27.0				1	27.0	0.0
delftia tsuruhatensis	35.0	10.0	31.0		35.0	BacDive	3	33.666666666666664	4.0
demequina activiva	35.0	10.0		35.0			2	35.0	0.0
demequina aestuarii	33.5	5.0		33.5			2	33.5	0.0
demequina aurantiaca	29.0	4.0		29.0			2	29.0	0.0
demequina lutea	27.5	4.0	18.0	22.75			3	22.75	9.5
demequina oxidasica	29.0	4.0		29.0			2	29.0	0.0
demetria terragena			29.0				1	29.0	0.0
dendrosporobacter quercicolus	27.5	20.0	33.0	27.5			3	29.333333333333332	5.5
denitrovibrio acetiphilus	36.0	4.0		36.0			2	36.0	0.0
dermabacter hominis			36.0		28.0	BacDive	2	32.0	8.0
dermabacter jinjuensis	35.0	20.0					1	35.0	0.0
dermacoccus abyssi			29.0		28.0	BacDive	2	28.5	1.0
dermacoccus barathri					28.0	BacDive	1	28.0	0.0
dermacoccus nishinomiyaensis			31.5	20.0	29.5	BacDive;Lyubetsky et al., 2020	3	27.0	11.5
dermacoccus profundi			29.0		28.0	BacDive	2	28.5	1.0
dermatophilus congolensis			35.0		37.0	BacDive	2	36.0	2.0
dermocarpa violacea			22.0				1	22.0	0.0
dermocarpella incrassata			22.0				1	22.0	0.0
derxia gummosa			29.0	28.6666666666667			2	28.83333333333335	0.3333333333333002
desemzia incerta			26.0				1	26.0	0.0
desertibacter roseus	38.5	12.0					1	38.5	0.0
desmonostoc muscorum			27.25				1	27.25	0.0
desmospora activa				40.0			1	40.0	0.0
desmospora profundinema	40.0	25.0			40.0	ThermoBase	2	40.0	0.0
desulfacinum hydrothermale	60.0	37.0	60.0	60.0	60.0	ThermoBase	4	60.0	0.0
desulfacinum infernum	60.0	40.0	60.0	60.0	60.0	ThermoBase	4	60.0	0.0
desulfacinum subterraneum			60.0				1	60.0	0.0
desulfallas thermosapovorans					50.0	ThermoBase	1	50.0	0.0
desulfarculus baarsii					37.0	Lyubetsky et al., 2020	1	37.0	0.0
desulfatibacillum aliphaticivorans				29.312			1	29.312	0.0
desulfatibacillum alkenivorans	29.0	22.0		29.0	29.0	BacDive	3	29.0	0.0
desulfatiferula berrensis	31.0	20.0					1	31.0	0.0
desulfatiferula olefinivorans	33.0	16.0			33.0	BacDive	2	33.0	0.0
desulfatiglans anilini			35.0	35.0			2	35.0	0.0
desulfatirhabdium butyrativorans	29.0	15.0		29.0	29.0	BacDive	3	29.0	0.0
desulfatitalea tepidiphila	38.0	13.0		38.0			2	38.0	0.0
desulfitibacter alkalitolerans	36.0	23.0		36.0			2	36.0	0.0
desulfitobacterium dehalogenans	38.0	13.0	36.55	36.8888888888889	37.5	Lyubetsky et al., 2020	4	37.234722222222224	1.4500000000000028
desulfitobacterium dichloroeliminans				27.5			1	27.5	0.0
desulfitobacterium hafniense			34.0	36.1875	37.0	Lyubetsky et al., 2020	3	35.729166666666664	3.0
desulfitobacterium metallireducens					30.0	Lyubetsky et al., 2020	1	30.0	0.0
desulfitobacterium sp.			35.0				1	35.0	0.0
desulfobacca acetoxidans					37.0	Lyubetsky et al., 2020	1	37.0	0.0
desulfobacter hydrogenophilus			30.5				1	30.5	0.0
desulfobacter latus			30.5				1	30.5	0.0
desulfobacter postgatei			31.0	30.6666666666667			2	30.83333333333335	0.3333333333333002
desulfobacter psychrotolerans			17.6				1	17.6	0.0
desulfobacter vibrioformis					33.0	BacDive	1	33.0	0.0
desulfobacterium autotrophicum			26.0				1	26.0	0.0
desulfobacterium indolicum			29.0				1	29.0	0.0
desulfobacterium zeppelinii			18.0				1	18.0	0.0
desulfobacterium_a vacuolatum				27.5			1	27.5	0.0
desulfobacterium_b autotrophicum				25.25			1	25.25	0.0
desulfobacula phenolica			29.0				1	29.0	0.0
desulfobacula toluolica					28.0	Lyubetsky et al., 2020	1	28.0	0.0
desulfobaculum bizertense					40.0	ThermoBase	1	40.0	0.0
desulfobaculum xiamenense	37.5	22.0	35.0	36.25	37.5	BacDive	4	36.5625	2.5
desulfobulbus aggregans	35.0	10.0					1	35.0	0.0
desulfobulbus elongatus			36.0	36.3333333333333			2	36.16666666666665	0.3333333333333002
desulfobulbus japonicus	35.0	15.0	35.0				2	35.0	0.0
desulfobulbus mediterraneus			20.0				1	20.0	0.0
desulfobulbus oligotrophicus	35.0	20.0		35.0			2	35.0	0.0
desulfobulbus propionicus			35.0	36.9			2	35.95	1.8999999999999986
desulfobulbus rhabdoformis	31.0	10.0		31.0			2	31.0	0.0
desulfocapsa sulfexigens					30.0	Lyubetsky et al., 2020	1	30.0	0.0
desulfocella halophila	34.0	14.0	32.0				2	33.0	2.0
desulfococcus multivorans			36.0	35.5	35.0	Lyubetsky et al., 2020	3	35.5	1.0
desulfoconvexum algidum	15.0	0.0	15.0				2	15.0	0.0
desulfocucumis palustris	34.5	18.0					1	34.5	0.0
desulfocurvibacter africanus					35.0	BacDive;Lyubetsky et al., 2020	1	35.0	0.0
desulfocurvus thunnarius	40.0	15.0			40.0	ThermoBase	2	40.0	0.0
desulfocurvus vexinensis					37.0	BacDive	1	37.0	0.0
desulfofaba fastidiosa					28.0	BacDive	1	28.0	0.0
desulfofaba gelida	7.0	-2.0	6.25		7.0	BacDive	3	6.75	0.75
desulfofalx alkaliphila					52.5	ThermoBase	1	52.5	0.0
desulfofarcimen acetoxidans					37.0	Lyubetsky et al., 2020	1	37.0	0.0
desulfofervidus auxilii				60.0			1	60.0	0.0
desulfofrigus fragile	18.0	-2.0	13.0		18.0	BacDive	3	16.333333333333332	5.0
desulfofrigus oceanense	10.0	-2.0	8.0		10.0	BacDive	3	9.333333333333334	2.0
desulfofundulus australicus					68.0	ThermoBase	1	68.0	0.0
desulfofundulus salinus					62.5	ThermoBase	1	62.5	0.0
desulfofundulus solfataricus					60.0	ThermoBase	1	60.0	0.0
desulfofundulus thermoacetoxidans					57.5	ThermoBase	1	57.5	0.0
desulfofundulus thermobenzoicus					55.0	ThermoBase	1	55.0	0.0
desulfofundulus thermocisternus					62.0	ThermoBase	1	62.0	0.0
desulfofundulus thermosubterraneus					63.5	ThermoBase	1	63.5	0.0
desulfofustis glycolicus			27.0	27.0			2	27.0	0.0
desulfoglaeba alkanexedens	34.0	17.0		34.0			2	34.0	0.0
desulfogranum japonicum					35.0	BacDive	1	35.0	0.0
desulfohalobium retbaense			35.0	36.1875	38.5	Lyubetsky et al., 2020	3	36.5625	3.5
desulfohalovibrio alkalitolerans				43.0			1	43.0	0.0
desulfolucanica intricata					43.5	ThermoBase	1	43.5	0.0
desulfoluna butyratoxydans					30.0	BacDive	1	30.0	0.0
desulfoluna spongiiphila					28.0	BacDive	1	28.0	0.0
desulfomicrobium aestuarii			35.0				1	35.0	0.0
desulfomicrobium baculatum				32.5	32.5	Lyubetsky et al., 2020	2	32.5	0.0
